               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094596,           0.0056828,            0.022607,           0.0025748,             0.55915,           0.0057491,           0.0012913,            0.058069,           0.0035028,           0.0093908,            0.070028,           0.0033302,           0.0033302
                   1,            0.074432,           0.0054974,           0.0099941,             0.59344,            0.081562,            0.055442,            0.015898,            0.049613,           0.0035552,           0.0053984,            0.039962,           0.0065976,           0.0065976
                   2,            0.066323,           0.0053646,           0.0071238,             0.27403,             0.17275,            0.060857,            0.016872,            0.046167,            0.003485,           0.0037435,           0.0098299,            0.009799,            0.009799
                   3,            0.061802,           0.0049241,           0.0063011,             0.31413,             0.32208,             0.22963,            0.081523,            0.041993,            0.003095,           0.0031024,            0.009703,            0.009703,            0.009703
                   4,            0.058035,           0.0045233,           0.0055759,             0.38663,              0.3843,             0.30166,             0.10811,            0.040109,           0.0029357,           0.0028988,            0.009703,            0.009703,            0.009703
                   5,            0.055898,           0.0043838,           0.0051307,             0.44314,             0.44857,             0.37081,             0.14119,            0.038419,            0.002829,           0.0023632,            0.009604,            0.009604,            0.009604
                   6,            0.054291,           0.0042109,           0.0049511,             0.40676,             0.44608,             0.35606,             0.14155,            0.037782,           0.0028019,           0.0028039,            0.009505,            0.009505,            0.009505
                   7,            0.053485,           0.0041134,           0.0048604,              0.4648,             0.44466,             0.40155,             0.16408,            0.037224,           0.0027495,           0.0028136,            0.009406,            0.009406,            0.009406
                   8,            0.052273,            0.004063,           0.0045509,             0.46745,             0.46949,             0.42911,             0.17747,            0.036101,           0.0026476,           0.0025845,            0.009307,            0.009307,            0.009307
                   9,             0.05173,           0.0039358,           0.0046962,             0.50592,             0.49451,             0.46075,             0.19915,            0.035522,           0.0026213,           0.0025232,            0.009208,            0.009208,            0.009208
                  10,            0.050968,           0.0038851,           0.0043172,             0.50437,             0.51907,             0.47571,             0.20343,            0.035136,           0.0025286,           0.0026618,            0.009109,            0.009109,            0.009109
                  11,            0.050319,           0.0038563,           0.0044212,             0.54573,             0.50492,             0.49799,             0.21756,            0.034725,           0.0025376,           0.0020061,             0.00901,             0.00901,             0.00901
                  12,            0.049983,           0.0037815,           0.0041333,             0.53675,             0.53922,             0.50211,             0.22191,            0.034155,           0.0024867,           0.0022239,            0.008911,            0.008911,            0.008911
                  13,            0.049358,           0.0037734,           0.0041654,             0.50693,             0.53809,              0.4992,             0.22054,            0.033832,           0.0024608,           0.0020177,            0.008812,            0.008812,            0.008812
                  14,            0.049517,           0.0037787,           0.0041555,             0.56036,             0.53755,              0.5262,             0.22937,            0.033712,           0.0024614,           0.0024138,            0.008713,            0.008713,            0.008713
                  15,            0.048542,           0.0037218,           0.0038874,             0.56003,             0.53635,             0.52838,             0.24069,            0.033431,           0.0024474,           0.0021353,            0.008614,            0.008614,            0.008614
                  16,            0.048341,           0.0036923,           0.0040524,             0.55349,             0.54174,             0.53316,               0.249,            0.033102,           0.0024383,           0.0020486,            0.008515,            0.008515,            0.008515
                  17,            0.047935,           0.0037017,           0.0038885,             0.57884,             0.55989,             0.56425,             0.26569,            0.032899,           0.0024077,           0.0021372,            0.008416,            0.008416,            0.008416
                  18,            0.047738,            0.003649,           0.0039395,             0.55368,             0.53954,             0.54855,             0.25069,            0.032966,           0.0024049,           0.0021001,            0.008317,            0.008317,            0.008317
                  19,            0.047331,           0.0035875,           0.0038689,             0.57948,             0.56502,             0.57121,             0.26356,            0.032503,           0.0023511,           0.0019543,            0.008218,            0.008218,            0.008218
                  20,            0.047283,            0.003613,           0.0037886,             0.60036,             0.56786,             0.58349,              0.2784,            0.032215,           0.0023386,           0.0023329,            0.008119,            0.008119,            0.008119
