               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074383,            0.021776,            0.013123,             0.46049,             0.42967,             0.39076,             0.15601,            0.041545,            0.012819,           0.0034487,            0.070028,           0.0033302,           0.0033302
                   1,            0.055012,            0.017408,           0.0059075,             0.49595,              0.5004,             0.46641,             0.18963,            0.037059,            0.012124,           0.0027702,            0.039962,           0.0065976,           0.0065976
                   2,             0.05341,            0.017209,           0.0056525,             0.48025,             0.43081,             0.40325,             0.16305,            0.039865,            0.013767,           0.0034493,           0.0098299,            0.009799,            0.009799
                   3,             0.05192,            0.017176,            0.005581,             0.56424,             0.54439,             0.55326,             0.24719,            0.035845,               0.012,            0.002776,            0.009703,            0.009703,            0.009703
                   4,            0.049323,            0.016824,           0.0049429,             0.61771,             0.53463,             0.56793,             0.24911,            0.035505,            0.011906,           0.0026051,            0.009703,            0.009703,            0.009703
                   5,            0.047932,            0.016392,           0.0046666,             0.62941,             0.55029,             0.58852,             0.27027,            0.034748,            0.011719,           0.0024185,            0.009604,            0.009604,            0.009604
                   6,            0.046916,            0.016173,           0.0044145,             0.64132,             0.60218,             0.63549,             0.30208,            0.033182,            0.011093,           0.0022533,            0.009505,            0.009505,            0.009505
                   7,            0.046253,            0.015875,           0.0042449,             0.65491,             0.59205,             0.63429,             0.29993,            0.033457,            0.011217,           0.0023925,            0.009406,            0.009406,            0.009406
                   8,            0.045728,            0.015595,           0.0042546,             0.66031,             0.61728,             0.65117,             0.30709,            0.032484,            0.010999,           0.0021677,            0.009307,            0.009307,            0.009307
                   9,            0.044956,            0.015457,           0.0041859,             0.67076,             0.62807,             0.66803,             0.32251,            0.032589,            0.010912,           0.0022413,            0.009208,            0.009208,            0.009208
                  10,            0.044773,            0.015328,           0.0040337,             0.66287,             0.63286,             0.66794,             0.32442,            0.032035,            0.010804,           0.0020574,            0.009109,            0.009109,            0.009109
