               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074554,            0.021633,            0.013074,             0.47205,              0.4318,             0.40519,             0.16061,             0.04077,            0.012852,           0.0035497,            0.070028,           0.0033302,           0.0033302
                   1,            0.054832,            0.017245,           0.0058482,             0.52508,             0.52296,              0.4827,             0.19953,            0.036925,            0.012182,           0.0026409,            0.039962,           0.0065976,           0.0065976
                   2,            0.053286,             0.01715,           0.0056329,             0.47317,             0.39063,             0.37754,             0.15216,            0.039782,             0.01344,           0.0033311,           0.0098299,            0.009799,            0.009799
                   3,            0.051834,            0.017079,            0.005519,             0.55417,             0.53376,              0.5438,             0.24066,            0.036328,            0.012411,           0.0026632,            0.009703,            0.009703,            0.009703
                   4,            0.049067,            0.016711,           0.0048873,             0.60991,             0.55487,             0.57749,             0.26091,            0.035256,              0.0116,           0.0023634,            0.009703,            0.009703,            0.009703
                   5,            0.047806,             0.01628,           0.0046719,             0.65791,             0.58816,             0.62984,             0.29209,            0.033864,            0.011416,            0.002513,            0.009604,            0.009604,            0.009604
                   6,            0.046816,            0.016115,           0.0044412,             0.66055,             0.61347,             0.65363,             0.31334,            0.032851,            0.010929,           0.0020879,            0.009505,            0.009505,            0.009505
                   7,            0.046027,            0.015807,           0.0041996,             0.65336,             0.61718,             0.65471,             0.31577,              0.0328,            0.011175,           0.0022826,            0.009406,            0.009406,            0.009406
                   8,             0.04569,            0.015547,           0.0042857,             0.64834,             0.61852,             0.64625,             0.30496,            0.032817,            0.011115,           0.0021729,            0.009307,            0.009307,            0.009307
                   9,            0.044726,            0.015356,            0.004132,             0.67666,             0.61628,             0.66973,             0.32416,            0.032277,            0.010897,           0.0021743,            0.009208,            0.009208,            0.009208
                  10,            0.044636,            0.015275,           0.0040236,             0.67329,             0.61567,             0.67109,             0.32686,             0.03183,            0.010834,            0.002058,            0.009109,            0.009109,            0.009109
                  11,            0.044111,            0.015056,           0.0037902,             0.68711,             0.64404,             0.69293,             0.34188,            0.031913,            0.010554,           0.0022011,             0.00901,             0.00901,             0.00901
                  12,            0.043691,            0.015068,           0.0037766,             0.67561,             0.65859,             0.68847,              0.3399,            0.031531,            0.010628,           0.0019759,            0.008911,            0.008911,            0.008911
                  13,            0.043296,              0.0151,           0.0037285,             0.69894,             0.65598,             0.69902,             0.35097,            0.031428,            0.010677,           0.0020012,            0.008812,            0.008812,            0.008812
                  14,            0.042985,            0.014868,           0.0036458,             0.70868,             0.64856,             0.70325,               0.353,            0.030926,            0.010552,           0.0019714,            0.008713,            0.008713,            0.008713
                  15,            0.042564,            0.014592,           0.0036052,             0.71135,             0.65372,             0.70989,              0.3661,            0.030783,            0.010454,           0.0019936,            0.008614,            0.008614,            0.008614
                  16,             0.04221,            0.014704,           0.0034755,              0.7377,             0.66016,             0.72743,             0.37482,            0.030366,            0.010309,           0.0019695,            0.008515,            0.008515,            0.008515
                  17,            0.041875,            0.014623,           0.0034686,             0.70899,             0.68108,              0.7245,             0.36943,            0.031056,             0.01031,           0.0020805,            0.008416,            0.008416,            0.008416
                  18,            0.041767,              0.0146,           0.0035803,             0.72114,             0.66901,             0.72911,             0.37995,            0.030403,            0.010318,           0.0020426,            0.008317,            0.008317,            0.008317
                  19,            0.041691,            0.014512,           0.0033631,             0.72639,             0.68057,             0.73822,             0.37799,            0.030257,            0.010217,            0.001954,            0.008218,            0.008218,            0.008218
                  20,            0.041475,            0.014445,           0.0032455,             0.74045,             0.67531,             0.73359,             0.38499,            0.030021,              0.0102,           0.0018558,            0.008119,            0.008119,            0.008119
                  21,            0.041294,            0.014268,           0.0032559,             0.72964,             0.69179,             0.74126,             0.38897,            0.029886,            0.010126,            0.002104,             0.00802,             0.00802,             0.00802
                  22,            0.041179,            0.014211,           0.0033851,             0.74302,             0.68453,              0.7422,             0.38688,            0.029754,            0.010148,           0.0019309,            0.007921,            0.007921,            0.007921
                  23,            0.040661,            0.014285,           0.0032142,             0.75544,             0.68828,              0.7517,             0.39773,            0.029455,            0.010046,           0.0019034,            0.007822,            0.007822,            0.007822
                  24,            0.040688,            0.014216,           0.0031455,              0.7457,             0.69178,             0.75253,             0.39565,            0.029604,            0.010006,            0.002004,            0.007723,            0.007723,            0.007723
