               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075483,            0.022219,            0.013906,             0.45954,             0.41847,             0.36545,             0.14128,            0.042847,            0.013453,           0.0038606,            0.070028,           0.0033302,           0.0033302
                   1,            0.056464,            0.018059,           0.0061839,             0.44448,             0.41827,             0.38595,             0.15277,            0.039172,             0.01301,           0.0034412,            0.039962,           0.0065976,           0.0065976
                   2,             0.05445,            0.017672,           0.0058381,             0.42482,              0.4128,             0.36789,             0.14779,            0.040495,             0.01333,           0.0039954,           0.0098299,            0.009799,            0.009799
                   3,            0.052789,            0.017508,           0.0057023,              0.5336,             0.50615,             0.50111,             0.21161,            0.037431,            0.012806,           0.0031581,            0.009703,            0.009703,            0.009703
                   4,            0.050314,            0.017219,           0.0050006,             0.54111,              0.5243,             0.51625,             0.22514,            0.036128,            0.012047,           0.0029409,            0.009703,            0.009703,            0.009703
                   5,            0.048882,            0.016729,            0.004741,              0.5997,             0.55186,             0.56537,             0.25348,            0.035137,            0.011902,           0.0025486,            0.009604,            0.009604,            0.009604
                   6,            0.047888,            0.016555,           0.0045773,             0.61596,             0.55466,               0.589,             0.26517,            0.034703,             0.01166,           0.0023849,            0.009505,            0.009505,            0.009505
                   7,            0.047045,            0.016231,           0.0043058,              0.6522,             0.57094,             0.61094,             0.28453,            0.034415,            0.011522,           0.0026276,            0.009406,            0.009406,            0.009406
                   8,             0.04683,            0.015896,           0.0043887,             0.64211,             0.59086,             0.62222,              0.2887,            0.033798,            0.011435,           0.0022278,            0.009307,            0.009307,            0.009307
                   9,            0.045813,            0.015767,           0.0042797,             0.65681,             0.58549,             0.63404,             0.30354,            0.033477,            0.011245,           0.0024072,            0.009208,            0.009208,            0.009208
                  10,            0.045662,            0.015592,           0.0040937,             0.64561,             0.60276,             0.64088,             0.30509,            0.032832,            0.011186,           0.0023457,            0.009109,            0.009109,            0.009109
                  11,            0.045164,            0.015485,           0.0039532,             0.62708,             0.61716,             0.63595,              0.3023,            0.033318,            0.011141,           0.0023081,             0.00901,             0.00901,             0.00901
                  12,            0.044802,            0.015467,           0.0038865,             0.67037,             0.62428,             0.66203,              0.3233,            0.032585,            0.011035,           0.0022852,            0.008911,            0.008911,            0.008911
